¾­¶È,Î¬¶È
109.01065792339,34.471036120791
109.01029653509,34.47101082464
109.00864967159,34.470882781358
109.0074644473,34.470799527078
109.0074644473,34.470799527078
109.00731362181,34.471011494244
109.00710278951,34.471174579879
109.00710278951,34.471174579879
109.00709272848,34.471534750984
109.00704269287,34.471895515717
109.00699256742,34.472186269073
109.00696256402,34.472296752105
109.00696256402,34.472296752105
109.01060806744,34.472456859239
109.01072853021,34.472465340742
109.01071855901,34.472535499107
109.01071855901,34.472535499107
109.01068846578,34.472865904775
109.01031728594,34.476310719996
109.01028728254,34.47665107956
109.010196913,34.477562194758
109.01000593325,34.479564574488
109.00960322289,34.483529464627
109.0095932517,34.483649603082
109.00957312966,34.483899847574
109.0094824008,34.484880881994
109.00934109735,34.486552511634
109.00934109735,34.486552511634
109.00978207552,34.486576687233
109.0112077762,34.486658512285
109.0115088882,34.486674802899
109.0124624395,34.486733493716
109.01282373798,34.486749412384
109.01299432619,34.486757520489
109.01337565688,34.486783332526
109.01528177134,34.48689379605
109.0157029868,34.486919831203
109.01758799108,34.487043758417
109.01758799108,34.487043758417
109.01758799108,34.486913805926
